H                  0   145.000     2.050     0.000     0.000     0.000
H2                 1    38.000     2.920     0.000     0.790   280.000
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
OH                 1    80.000     2.750     0.000     0.000     0.000
H2O                2   572.400     2.605     1.844     0.000     4.000
HO2                2   107.400     3.458     0.000     0.000     1.000
H2O2               2   107.400     3.458     0.000     0.000     3.800
HE                 0    10.200     2.576     0.000     0.000     0.000
AR                 0   136.500     3.330     0.000     0.000     0.000
N2                 1    97.530     3.621     0.000     1.760     4.000
C                  0    71.400     3.298     0.000     0.000     0.000
CH                 1    80.000     2.750     0.000     0.000     1.000
CH2                2   144.000     3.800     0.000     0.000     1.000
CH2(S)             2   144.000     3.800     0.000     0.000     1.000
CH3                2   144.000     3.800     0.000     0.000     1.000
CH4                2   141.400     3.746     0.000     2.600    13.000
CO                 1    98.100     3.650     0.000     1.950     1.800
CO2                1   244.000     3.763     0.000     2.650     2.100
HCO                2   498.000     3.590     0.000     0.000     2.000
CH2O               2   498.000     3.590     0.000     0.000     2.000
CH2OH              2   417.000     3.690     1.700     0.000     2.000
CH3O               2   417.000     3.690     1.700     0.000     2.000
CH3OH              2   481.800     3.626     0.000     0.000     1.000
C2H                1   209.000     4.100     0.000     0.000     2.500
C2H2               1   209.000     4.100     0.000     0.000     2.500
C2H3               2   209.000     4.100     0.000     0.000     1.000
C2H4               2   280.800     3.971     0.000     0.000     1.500
C2H5               2   252.300     4.302     0.000     0.000     1.500
C2H6               2   252.300     4.302     0.000     0.000     1.500
HCCO               2   150.000     2.500     0.000     0.000     1.000
CH2CO              2   436.000     3.970     0.000     0.000     2.000
CH2CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3CO              2   436.000     3.970     0.000     0.000     2.000
H2CC               2   209.000     4.100     0.000     0.000     2.500
CH3O2              2   481.800     3.626     0.000     0.000     1.000
CH3OOH             2   481.800     3.626     0.000     0.000     1.000
C2H5O2             2   470.600     4.410     0.000     0.000     1.500
C2H5OOH            2   470.600     4.410     0.000     0.000     1.500
C2H2OH             2   224.700     4.162     0.000     0.000     1.000
C2H3OH             2   436.000     3.970     0.000     0.000     2.000
C2H4O              2   436.000     3.970     0.000     0.000     2.000
C2H5OH             2   470.600     4.410     0.000     0.000     1.500
C2H4OH             2   470.600     4.410     0.000     0.000     1.500
CH3CHOH            2   470.600     4.410     0.000     0.000     1.500
C3H8               2   266.800     4.982     0.000     0.000     1.000
NC3H7              2   266.800     4.982     0.000     0.000     1.000
IC3H7              2   266.800     4.982     0.000     0.000     1.000
C3H6               2   298.900     4.678     0.000     0.000     1.000
C3H5               2   252.000     4.760     0.000     0.000     1.000
CH3CCH2            2   266.800     4.982     0.000     0.000     1.000
AC3H4              2   252.000     4.760     0.000     0.000     1.000
PC3H4              2   252.000     4.760     0.000     0.000     1.000
C3H3               2   252.000     4.760     0.000     0.000     1.000
C2H5CHO            2   435.200     4.662     0.000     0.000     1.000
CH3COCH3           2   435.500     4.860     0.000     0.000     1.000
CH3COCH2           2   435.500     4.860     0.000     0.000     1.000
C2H3CHO            2   428.800     4.958     0.000     0.000     1.000
C3H5OH             2   481.500     4.997     0.000     0.000     1.000
NC3H7O2            2   481.500     4.997     0.000     0.000     1.000
NC3H7OOH           2   481.500     4.997     0.000     0.000     1.000
IC3H7O2            2   481.500     4.997     0.000     0.000     1.000
IC3H7OOH           2   481.500     4.997     0.000     0.000     1.000
C4H2               1   357.000     4.720     0.000     0.000     1.000
NC4H3              2   357.000     5.180     0.000     0.000     1.000
IC4H3              2   357.000     5.180     0.000     0.000     1.000
C4H4               2   357.000     5.180     0.000     0.000     1.000
NC4H5              2   357.000     5.180     0.000     0.000     1.000
IC4H5              2   357.000     5.180     0.000     0.000     1.000
C4H5-2             2   357.000     5.180     0.000     0.000     1.000
C4H6               2   357.000     4.720     0.000     0.000     1.000
C4H612             2   357.000     5.180     0.000     0.000     1.000
C4H6-2             2   357.000     5.180     0.000     0.000     1.000
C4H7               2   357.100     4.720     0.000     0.000     1.000
IC4H7              2   355.000     4.650     0.000     0.000     1.000
IC4H7-1            2   357.000     5.176     0.000     0.000     1.000
C4H81              2   355.000     4.650     0.000     0.000     1.000
C4H82              2   355.000     4.650     0.000     0.000     1.000
IC4H8              2   355.000     4.650     0.000     0.000     1.000
NC4H9              2   352.000     5.240     0.000     0.000     1.000
SC4H9              2   352.000     5.240     0.000     0.000     1.000
IC4H9              2   352.000     5.240     0.000     0.000     1.000
TC4H9              2   352.000     5.240     0.000     0.000     1.000
C4H10              2   350.900     5.206     0.000     0.000     1.000
IC4H10             2   355.700     5.208     0.000     0.000     1.000
H2C4O              2   357.000     5.180     0.000     0.000     1.000
CH2CHCHCHO         2   357.000     5.180     0.000     0.000     1.000
CH3CHCHCO          1   357.000     5.180     0.000     0.000     1.000
CH3CHCHCHO         1   357.000     5.180     0.000     0.000     1.000
C3H7CHO            2   464.200     5.009     0.000     0.000     1.000
IC3H7CHO           2   436.400     5.352     0.000     0.000     1.000
C2H5COCH3          2   454.000     5.413     0.000     0.000     1.000
C2H3COCH3          2   454.000     5.413     0.000     0.000     1.000
OH*                1    80.000     2.750     0.000     0.000     0.000
CH*                1    80.000     2.750     0.000     0.000     0.000
